STN,AREA,NAME,LON,LAT,ROMS_X,ROMS_Y,WRF_X,WRF_Y,WW3_X,WW3_Y,CWW3_X,CWW3_Y,CWWR_LOC,RWW3_X,RWW3_Y,MOHID_X,MOHID_Y,CITY_X,CITY_Y,WARN_AREA,CITY_MID
SD1,황해남부,진도,126.3539187,34.4175584,280,403,110,148,112,173,282,250,2,136,187,-999,-999,49,58,전남남부서해앞바다,11F20000
SD2,황해중부,무창포,126.5317998,36.2451203,285,467,115,97,114,195,304,31,2,138,165,-999,-999,52,98,충남남부앞바다,11C20000
SD4,황해중부,제부도,126.6459397,37.1761861,289,501,118,72,116,206,438,219,1,140,154,-999,-999,54,118,인천·경기남부앞바다,11B00000
SD5,제주도,서건도,126.4989949,33.2321311,284,362,114,181,114,159,420,272,3,138,201,-999,-999,52,32,제주도남부앞바다,11G00000
SD6,황해중부,실미도,126.3980896,37.4025254,281,509,112,65,113,209,408,192,1,137,151,-999,-999,50,123,인천·경기남부앞바다,11B00000
SD7,황해남부,하섬,126.4879818,35.6584566,284,447,114,113,114,188,299,101,2,138,172,-999,-999,52,85,전북남부앞바다,11F10000
SD8,황해중부,웅도,126.389043,36.9260298,280,492,111,78,113,203,407,249,1,137,157,-999,-999,50,113,충남북부앞바다,11C20000
SD9,황해중부,소야도,126.1597056,37.22381667,274,501,106,70,110,207,379,213,1,134,153,-999,-999,46,119,인천·경기남부앞바다,11B00000
SD10,남해동부,소매물도,128.5480252,34.6208292,348,410,161,141,139,175,186,286,4,163,185,-999,-999,89,63,거제시동부앞바다,11H20000
SD11,남해동부,동섬,128.712924,35.078751,353,426,165,129,141,181,206,231,4,165,179,-999,-999,91,73,경남중부남해앞바다,11H20000
SD19,남해서부,우도,127.3144167,34.72220278,312,414,133,139,124,177,398,213,2,148,183,-999,-999,67,65,전남동부남해앞바다,11F20000
SD20,황해중부,선재도,126.5266,37.2415,285,503,115,69,114,207,423,211,1,138,153,-999,-999,51,120,인천·경기남부앞바다,11B00000
SD21,황해남부,화도,126.175,34.9516,274,422,107,133,110,179,261,186,2,134,181,-999,-999,46,71,전남중부서해앞바다,11F20000
SD22,남해서부,대섬,126.4946,34.3471,284,401,114,150,114,172,299,258,2,138,188,-999,-999,52,57,전남서부남해앞바다,11F20000
